"I01" "I02" "I03" "I04" "I05" "I06" "I07" "I08" "I09" "I10"
"1" 1 1 0 1 1 1 0 1 1 1
"2" 1 1 1 1 1 1 0 1 1 1
"3" 0 0 0 0 1 0 0 0 0 0
"4" 1 0 1 1 0 1 0 1 1 1
"5" 1 1 0 1 1 1 1 1 1 1
"6" 1 1 0 0 0 0 0 0 0 1
"7" 1 1 0 1 1 1 1 1 1 1
"8" 1 0 1 0 1 1 1 1 1 1
"9" 1 1 1 1 1 1 1 1 1 1
"10" 1 0 0 0 1 0 0 1 1 0
"11" 1 1 1 1 1 1 1 1 1 1
"12" 0 0 0 0 1 0 0 0 0 0
"13" 1 0 0 1 1 1 1 1 1 1
"14" 1 1 1 1 1 1 0 1 1 1
"15" 1 1 0 1 1 1 0 0 1 1
"16" 1 0 1 0 1 1 0 1 0 0
"17" 1 0 0 0 0 0 0 0 0 0
"18" 0 0 0 0 1 0 0 0 0 0
"19" 1 1 1 1 1 1 0 1 1 1
"20" 1 1 1 1 1 1 1 1 1 1
"21" 1 0 0 0 1 0 0 1 0 1
"22" 0 0 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0 0 0
"24" 1 1 1 1 1 1 1 1 1 1
"25" 0 0 0 0 0 0 0 0 0 0
"26" 0 0 0 0 1 1 0 1 1 1
"27" 1 1 0 1 1 1 1 1 1 1
"28" 1 1 1 1 1 1 0 1 1 1
"29" 1 1 0 0 1 1 0 1 0 0
"30" 1 1 0 1 1 1 1 1 1 1
"31" 0 0 0 0 1 0 0 0 0 0
"32" 0 0 0 0 0 0 0 0 0 0
"33" 1 0 0 0 1 0 0 0 0 1
"34" 1 0 0 0 1 1 1 1 1 1
"35" 0 1 1 1 1 0 0 0 0 1
"36" 0 0 0 0 1 0 0 0 0 0
"37" 1 1 1 1 1 1 0 1 1 1
"38" 1 0 0 0 0 0 0 0 0 0
"39" 1 0 0 1 1 1 0 1 1 1
"40" 1 1 0 0 1 0 0 0 1 0
"41" 1 0 0 0 1 0 0 0 0 0
"42" 1 0 0 0 0 1 0 1 0 1
"43" 1 0 0 0 1 0 0 0 0 1
"44" 1 1 0 1 0 1 0 1 0 1
"45" 1 1 0 0 0 1 1 1 1 1
"46" 0 0 0 0 0 0 0 0 0 0
"47" 1 1 1 1 1 1 0 1 1 1
"48" 1 0 0 0 1 0 0 0 0 0
"49" 1 0 0 0 0 0 0 0 0 0
"50" 1 0 0 0 1 0 1 1 0 1
"51" 0 1 0 0 1 0 1 0 0 0
"52" 1 0 0 0 0 0 0 0 1 1
"53" 0 1 1 1 1 1 0 1 0 1
"54" 1 0 0 1 1 1 0 1 1 1
"55" 1 1 1 1 1 1 1 1 1 1
"56" 0 0 0 0 0 0 0 1 0 0
"57" 0 0 0 0 0 0 1 1 0 0
"58" 0 0 0 0 1 0 0 0 0 0
"59" 1 1 1 1 1 1 1 1 1 1
"60" 0 0 0 0 1 0 1 0 0 0
"61" 1 0 0 0 0 0 0 0 0 0
"62" 1 1 1 1 1 1 1 1 1 1
"63" 1 0 0 0 1 0 0 0 0 0
"64" 1 1 0 0 1 0 0 1 0 0
"65" 1 1 1 1 1 1 0 1 1 1
"66" 1 0 0 0 1 0 0 0 0 0
"67" 1 1 0 1 1 1 1 1 1 1
"68" 1 0 0 1 0 0 0 1 1 1
"69" 1 1 0 0 1 0 1 0 0 0
"70" 0 0 0 0 1 0 0 0 0 0
"71" 1 1 1 1 1 1 1 1 1 1
"72" 0 0 0 0 1 0 0 0 1 1
"73" 1 1 0 1 1 1 1 1 1 0
"74" 0 0 0 0 1 0 0 0 0 0
"75" 1 0 0 0 0 0 0 0 0 0
"76" 0 0 0 0 0 0 0 1 0 0
"77" 0 1 0 0 0 0 0 0 0 0
"78" 1 1 0 1 1 1 0 1 1 1
"79" 1 0 0 1 1 1 0 1 1 1
"80" 1 1 1 1 1 0 0 0 1 1
"81" 1 1 1 1 0 1 0 0 0 1
"82" 0 0 0 0 0 0 0 0 0 0
"83" 0 1 0 1 1 1 0 0 1 1
"84" 0 0 0 1 1 0 0 1 1 1
"85" 1 0 0 0 1 1 0 1 0 1
"86" 0 0 0 0 1 0 0 0 0 0
"87" 1 1 0 0 1 1 0 1 1 1
"88" 0 0 0 0 1 0 0 0 0 0
"89" 1 1 1 1 1 1 1 1 1 1
"90" 0 0 0 0 1 0 0 0 0 0
"91" 1 0 0 0 1 0 0 1 0 0
"92" 1 1 1 1 1 1 1 1 1 1
"93" 1 1 1 1 1 1 0 1 1 1
"94" 1 1 1 1 1 1 1 1 1 1
"95" 1 1 1 1 1 1 0 1 1 1
"96" 1 1 0 0 0 0 0 0 0 0
"97" 0 0 0 0 0 0 0 0 1 0
"98" 1 1 0 1 1 1 0 1 1 1
"99" 0 0 0 0 1 0 0 0 0 0
"100" 1 1 0 1 1 1 0 1 1 1
